Filename,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Parties-Answer,Agreement Date-Answer,Effective Date-Answer,Expiration Date-Answer,Renewal Term-Answer,Notice Period To Terminate Renewal- Answer
"MACY'S,INC_05_11_2020-EX-99.4-JOINT FILING AGREEMENT.PDF","['EP INVESTMENT S.À R.L.', 'DANIEL KŘETÍNSKÝ', 'VESA EQUITY INVESTMENT S.À R.L.']","['May 11, 2020']",[],[],[],[],VESA EQUITY INVESTMENT S.À R.L.; EP INVESTMENT S.À R.L.;  DANIEL KŘETÍNSKÝ,5/11/20,,,,
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.PDF,"['BANK OF AMERICA CORPORATION', 'BANC OF AMERICA PREFERRED FUNDING CORPORATION']","['April 7, 2020']","['IN WITNESS WHEREOF, each party hereto, being duly authorized, has caused this agreement to be executed and effective as of the date set forth below.<omitted>April 7, 2020']",[],[],[],"Bank of America Corporatino, Banc of America Preferred Funding Corporation",4/7/20,4/7/20,,,
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.PDF,"['Shelby J. Butterfield', 'Co-Trustee']","['March 27, 2020.']",[],[],[],[],"Shelby J. Butterfield (""Co-Trustee"")",3/27/20,,,,
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT.PDF","['SCULPTOR CAPITAL HOLDING CORPORATION', 'SCULPTOR CAPITAL LP', 'SCULPTOR MASTER FUND LTD', 'SCULPTOR MANAGEMENT, INC.']","['April 8, 2020']",[],[],[],[],"SCULPTOR CAPITAL LP; SCULPTOR CAPITAL HOLDING CORPORATION; SCULPTOR MANAGEMENT, INC.; SCULPTOR MASTER FUND LTD",4/8/20,,,,
"PRECIGEN,INC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF","['ARES TRADING SA', 'MERCK SERONO SA, COINSINS, SWITZERLAND, AN AFFILIATE OF MERCK KGAA, DARMSTADT, GERMANY', 'MERCK KGAA, DARMSTADT, GERMANY']",[],[],[],[],[],"ARES TRADING SA; MERCK SERONO SA COINSINS, SWITZERLAND, AN AFFILIATE OF MERCK KGAA, DARMSTADT, GERMANY; MERCK KGAA DARMSTADT, GERMANY",,,,,
"SPRINGBANKPHARMACEUTICALS,INC_04_08_2020-EX-99.A-JOINT FILING AGREEMENT.PDF","['UBS ONCOLOGY IMPACT FUND L.P.', 'MPM ONCOLOGY IMPACT MANAGEMENT LP', 'ONCOLOGY IMPACT FUND (CAYMAN) MANAGEMENT L.P.', 'MPM ONCOLOGY IMPACT MANAGEMENT GP LLC']","['7t h day of April, 2020.']",[],[],[],[],UBS ONCOLOGY IMPACT FUND L.P.; ONCOLOGY IMPACT FUND (CAYMAN) MANAGEMENT L.P.; MPM ONCOLOGY IMPACT MANAGEMENT LP; MPM ONCOLOGY IMPACT MANAGEMENT GP LLC,4/7/20,,,,
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,"['HPS MEZZANINE PARTNERS II GP, L.P.', 'MEZZANINE PARTNERS II OFFSHORE LUX S.À R.L II', 'HPS MEZZANINE PARTNERS II, LLC', 'MEZZANINE PARTNERS II ONSHORE LUX S.À R.L', 'MEZZANINE PARTNERS II OFFSHORE LUX S.À R.L', 'HPS INVESTMENT PARTNERS, LLC', 'MEZZANINE PARTNERS II ONSHORE LUX S.À R.L II', 'MEZZANINE PARTNERS II, L.P.', 'MEZZANINE PARTNERS - OFFSHORE INVESTMENT MASTER FUND II, L.P.', 'HPS MEZZANINE PARTNERS II OFFSHORE GP, L.P.']","['July 6, 2020']",[],[],[],[],"HPS INVESTMENT PARTNERS, LCC; HPS MEZZANINE PARTNERS II, LLC; HPS MEZZANINE PARTNERS II OFFSHORE GP, L.P.; MEZZANINE PARTNERS - OFFSHORE INVESTMENT MASTER FUND II, L.P.; MEZZANINE PARTNERS II OFFSHORE LUX S.À R.L; MEZZANINE PARTNERS II OFFSHORE LUX S.À R.L II; HPS MEZZANINE PARTNERS II GP, L.P.; MEZZANINE PARTNERS II, L.P.; MEZZANINE PARTNERS II ONSHORE LUX S.À R.L; MEZZANINE PARTNERS II ONSHORE LUX S.À R.L II",7/6/20,,,,
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.PDF,"['Cyberian Outpost, Inc.', 'Company', 'CNET', 'CNET, Inc.']","['January 26, 1998']","['The term of this Agreement (the ""Term"") will begin on      February 1, 1998 and end on the first anniversary of the date of this      Agreement; provided that (a) either party may terminate this Agreement,      effective at any time after the first three\n\n       months of the Term, by giving 30 days\' written notice of termination to the      other party, and (b) either party may terminate this Agreement at any time      by giving written notice of termination to the other party, if the other      party commits a material breach of its obligations hereunder that is not      cured within 30 days after notice thereof from the non-breaching party.']","['The term of this Agreement (the ""Term"") will begin on      February 1, 1998 and end on the first anniversary of the date of this      Agreement; provided that (a) either party may terminate this Agreement,      effective at any time after the first three\n\n       months of the Term, by giving 30 days\' written notice of termination to the      other party, and (b) either party may terminate this Agreement at any time      by giving written notice of termination to the other party, if the other      party commits a material breach of its obligations hereunder that is not      cured within 30 days after notice thereof from the non-breaching party.']",[],[],"CNET, Inc. (""CNET""); Cyberian Outpost, Inc. (""Company"")",1/26/98,2/1/98,1/26/99,,
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.PDF,"['Each of Depomed and King is referred to herein individually as a ""party"" and collectively as the ""parties.""', 'King Pharmaceuticals, Inc.', 'Depomed', 'Depomed, Inc.', 'King']","['June 27, 2006']","['June 27, 2006']","['The term of this Agreement shall commence on the Effective Date and shall continue, unless terminated sooner in accordance with this Article VIII, until June 27, 2011 (the ""Term"").']","['The Term of this Agreement shall be extended for subsequent one year periods upon the mutual agreement of the parties, which agreement shall be set forth in writing (in which event a party that desires to so extend the Term of this Agreement shall notify the other party at least 120 days prior to the termination of this Agreement).']",[],"Depomed, Inc. (""Depomed""); King Pharmaceuticals, Inc. (""King""); Depomed and King (individually as a ""party"" and collectively as the ""parties"")",6/27/06,6/27/06,6/27/11,,
"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT.PDF","['Turpin', 'Company', 'KENNETH TURPIN', 'VISUALANT INCORPORATED']","['June 16, 2004']",[],['This Agreement  shall continue until  terminated as      provided herein.'],[],[],"Visualant Incorporated (""Company""); Kenneth Turpin (""Turpin"")",6/16/04,,perpetual,,
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT.PDF,"['Ingevity Corporation', 'Parent', 'SpinCo and Parent may be individually referred to herein as a ""Party"" and collectively as the ""Parties"".', 'SpinCo', 'WestRock Company']","['May 14, 2016']",[],[],[],[],"WestRock Company (""Parent""); Ingevity Corporation (""SpinCo""); SpinCo and Parent (individually referred to herein as a “Party” and collectively as the “Parties”)",5/14/16,,,,
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..PDF","['Babcock & Wilcox Enterprises, Inc.', 'The Babcock & Wilcox Company', 'SpinCo', 'RemainCo', 'individually as a ""Party,"" and collectively as the ""Parties."" C']","['June 26, 2015']","['June 26, 2015']",[],[],[],"The Babcock and Wilcox Company (""RemainCo""); Babcock and Wilcox Enterprises, Inc. (""SpinCo""); individually as a “Party,” and collectively as the “Parties”",6/26/15,6/25/15,,,
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf,"['PC Quote, Inc.', 'A.B. Watley, Inc.', 'ABW', 'PCQ']","['December 9, 1996']","['December 9, 1996']",[],[],[],"PC Quote, Inc. (""PCQ""); A.B. Watley, Inc. (""ABW"")",12/9/96,12/9/96,,,
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.pdf,"['ABW', 'A.B. Watley, Inc.', 'PC QUOTE, INC.', 'PCQ']","['23rd day of February, 1998']","['23rd day of February, 1998']",[],[],[],"PC QUOTE, INC. (""PCQ""); A.B. Watley, Inc. (""ABW"")",2/23/98,2/23/98,,,
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,"['PC QUOTE, INC.', 'PCQ', 'This agreement shall apply to said ABW and all of its subsidiaries and related companies.', 'ABW', 'AB Wately, Inc.']","['Oct. 11, 1996']",['The effective date for purposes of this Agreement is the contract date as specified on the signature page of this Agreement.<omitted>10-11-96'],[],[],[],"PC QUOTE, INC. (""PCQ""); AB Wately, Inc. and all of its subsidiaries and related companies (""ABW"" )",10/11/96,10/11/96,,,
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement2.pdf,"['K iosk  Concep t s ,   I nc', 'F ranch i so r', 'Master Franchisee', 'Guarantors']",[],[],[],[],[],"Kiosk Concepts, Inc. (""Franchisor""); (""Master Franchisee""); (""Guarantors"")",,,,,
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.pdf,"['we', 'you', 'our', 'The Grilled Cheese Truck, Inc.', 'your', 'Master Franchisee', 'us', 'Kiosk Concepts, Inc.']","['_____ day of __________________, 2015']","['_____ day of __________________, 2015']","['The initial term of this Agreement shall commence upon the Effective Date and shall expire ten (10) years from the Effective Date, unless sooner terminated under the terms of this Agreement.']","['You shall have the option to renew the term of this Agreement, on the terms and conditions set forth in this Agreement, for four (4) additional ten (10) year terms, upon written notice given by you to us not less than six (6) months nor more than twelve (12) months prior to the scheduled expiration date of the term then in effect, provided that each of the following conditions are satisfied:   3.2.1 You shall not be in default of any provision of this Agreement, or any other agreement between you and us or our affiliates, or any standards set forth in the Manuals, and you shall have complied with all the terms and conditions of this Agreement, the Manuals and any other agreements during the term of this Agreement.   3.2.2 You shall have satisfied all monetary obligations owed by you to us and our affiliates, and shall have timely met those obligations throughout the term of this Agreement.   3.2.3 You shall, at our option, execute our then-current form of Master Franchise Agreement and any addenda thereto for the renewal term, which renewal agreement shall supersede this Agreement in all respects, and the terms of which, including, without limitation, continuing fees payable to us, may differ materially and be less advantageous to you than the terms of this Agreement.   3.2.4 You shall comply with our then-current qualification and training requirements.   3.2.5 You shall pay us a renewal fee in the sum of Ten Thousand Dollars ($10,000) for the right to renew this Agreement.   3.2.6 You shall execute a general release, in a form prescribed by us, of any and all claims which you may have or believe to have against us and/or our affiliates and our respective officers, directors, agents and employees, whether the claims are known or unknown, which are based on, arise from or relate to this Agreement or the Franchised Business, as well as claims, known or unknown, which are not based on, do not arise from or do not relate to this Agreement or the Franchised Business, but which relate to other franchise agreements, Franchised Businesses and other agreements between us or our affiliates and you which arose on or before the date of the general release, including, without limitation, all obligations, liabilities, demands, costs, expenses, damages, claims, actions and causes of action, of whatever nature, character or description, arising under federal, state and local laws, rules and ordinances (provided, however, that all rights enjoyed by you and any causes of action arising in your favor from the provisions of Article 33 of the New York General Business Law (""GBL"") and the regulations issued thereunder shall remain in force; it being the intent of this provision that the non-waiver provisions of GBL Sections 687.4 and 687.5 be satisfied).']",[],"Kiosk Concepts Inc. (""we"", ""us"", ""our""); The Grilled Cheese Truck, Inc. (""you"", ""your"", ""Master Franchisee"")",[]/[]/2015,[]/[]/2015,[]/[]/2025,four successive 10 years,
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement4.pdf,"['THE GRILLED CHEESE TRUCK, INC.', 'KIOSK CONCEPTS, INC.']","['______ day of ______________, 2015.']",[],[],[],[],"KIOSK CONCEPTS, INC.; THE GRILLED CHEESE TRUCK, INC.",[]/[]/2015,,,,
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.PDF,"['Adviser', 'FASC', 'FEDERATED ADVISORY SERVICES COMPANY', 'FEDERATED INVESTMENT MANAGEMENT COMPANY']","['January 1, 2004']","['January 1, 2004 (']","['Notwithstanding the foregoing, to the extent that the Services to be provided with respect to any Account which is registered as an investment company under the 1940 Act (herein referred to as a ""registered investment company"") are services referred to in the definition of ""investment advisor"" under Section 202(a)(11) of the Investment Company Act of 1940 (herein referred to as ""investment advisory services""), then with respect to such Account, this Agreement:\n\n(i) shall not commence until the effective date of its approval by the board of directors or trustees (""Board"") of such Account;\n\n(ii) shall continue from year to year thereafter, subject to the provisions for termination and all other terms and conditions hereof, only if such continuation shall be specifically approved at least annually by a majority of the Board, including a majority of the members of the Board who are not parties to this Agreement or interested persons of any such party (other than as members of the Board) cast in person at a meeting called for that purpose;\n\n(iii) may be terminated at any time without the payment of any penalty by the Board or by a vote of a majority of the outstanding voting securities (as defined in Section 2(a)(42) of the 1940 Act) of the Account on 60 days\' written notice to the Adviser;\n\n(iv) shall automatically terminate in the event of (A) its assignment (as defined in the 1940 Act) or (B) termination of the Advisory Agreement for any reason whatsoever.', ""Subject to the remaining provisions of this Section, the term of this Agreement shall begin on the effective date first above written and shall continue until terminated by mutual agreement of the parties hereto or by either party on not less than 60 days' written notice to the other party hereto.""]",[],[],"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",1/1/04,1/1/04,,perpetual,
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT.pdf,"['Adviser', 'FASC', 'FEDERATED ADVISORY SERVICES COMPANY', 'FEDERATED INVESTMENT MANAGEMENT COMPANY']","['March 1, 2016']","['March 1, 2016']",[],[],[],"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",3/1/16,3/1/16,,,
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF.pdf,"['Adviser', 'FASC', 'FEDERATED ADVISORY SERVICES COMPANY', 'FEDERATED INVESTMENT MANAGEMENT COMPANY']","['January 1, 2004']",[],"[""This Limited Power of Attorney shall be revoked and terminated automatically upon the cancellation or termination of the Services Agreement or as to any Fund upon the cancellation or termination of the Adviser's Investment Advisory Contract for such Fund.""]",[],[],"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",1/1/04,,,,
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT.pdf,"['Adviser', 'FASC', 'FEDERATED ADVISORY SERVICES COMPANY', 'FEDERATED INVESTMENT MANAGEMENT COMPANY']","['March 30, 2009']","['March 30, 2009']",[],[],[],"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",3/30/09,3/30/09,,,
WESTERN COPPER - NON-COMPETITION AGREEMENT.PDF,"['GLAMIS GOLD LTD.', 'Glam is', 'Bach of the parties hereto agree that all of their covenants, agreements and obligations hereunder shall extend to and be binding upon and may be enforced against any and  all of their respective subsidiaries and other Affiliates, as well as against the parties themselves,  as the case may be, and that the names of Glamis and Western Copper will herein be deemed to  refer collectively to Glamis and all of its subsidiaries and other Affiliates and to Western Copper  and all of its subsidiaries and other Affiliates, respectively.', 'WESTERN COPPER CORPORATION', 'Western Copper']","['May 3,2006']","['Effective Date means May 3, 200ri or such later date as determined under the  Arrangement Agreement,']",[],[],[],"Glamis Gold Ltd. and all of its subsidiaries and other Affiliates (""Glamis""); Western Copper Corporation and all of its subsidiaries and other Affiliates (""Western Copper"")",5/3/06,5/3/06,,,
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.PDF","['THERAVANCE, INC.', 'GLAXO GROUP LIMITED', 'Theravance and GSK may be referred to as a ""Party"" or together, the ""Parties"".', 'GSK', 'Theravance']","['November 14, 2002,']",[],"['Unless otherwise mutually agreed to by the Parties, this Agreement shall commence on the Effective Date and shall end upon expiration of the Term, unless terminated early as contemplated hereunder.', '""Term"" means, on a Country-by-Country and Collaboration Product-by-Collaboration Product basis, the period from the Effective Date until the later of (a) the expiration or termination of the last Valid Claim of a Patent Right covering the Pooled Compound in such Collaboration Product in such Country, and (b) fifteen (15) years from First Commercial Sale in such Country, unless this Agreement is terminated earlier in accordance with Article 14.']",[],[],"Theravance, Inc. (""Theravance""); Glaxo Group Limited (""GSK""); (Theravance and GSK, a “Party” or together, the “Parties”)",11/14/02,,,,
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF","['Foundation Medicine, Inc', 'F. Hoffmann-La Roche Ltd', 'FMI', '(""Roche US""; Roche Basel and Roche US together referred to as ""Roche"")', 'Roche Basel', 'Hoffmann-La Roche Inc']",[],"['The term ""Effective Date"" shall mean the latest of (a) the date of the last signature of this Agreement, or (b) if a HSR filing is made, the second Business Day immediately following the earlier of: (i) the date upon which the waiting period under HSR expires or terminates early or (ii) the date upon which all requests to the Parties by the Federal Trade Commission or the Justice Department, as the case may be, with regard to the transaction contemplated by this Agreement<omitted>have been satisfactorily met and no objection on the part of the Federal Trade Commission or the Justice Department remains, or (c) the occurrence of the Acceptance Time (as defined in the Transaction Agreement).']","['The term of the CDx Development Program shall be five (5) years.', 'The term for Database Insights under Section 3.1.8 shall commence on the Effective Date and continue for five (5) years thereafter (the ""Database Insights Term"").', 'The term ""Agreement Term"" shall mean the period of time commencing on the Effective Date and, unless this Agreement is terminated sooner as provided in Article 17, expiring on the date when all work has been completed or terminated under all R&D Plans.', 'The initial term of the Immunotherapy Testing Platform Development Program will be five (5) years beginning on the Effective Date.', 'The term for Sample Profiling set forth in Section 3.1.4 shall commence on the Effective Date and continue for five (5) years thereafter (the ""Profiling Term"").', 'This Agreement shall commence upon the Effective Date and continue for the Agreement Term.', 'The initial term of the ctDNA Platform Development Program will be twelve (12) months.']","['Roche shall have the right to extend the term of the CDx Development Program, upon […***…] prior written notice to FMI as specified in Section 19.13, for additional three (3) year periods, during any period of time in which Roche is a majority shareholder of FMI.', 'Roche shall have the right to extend the Immunotherapy Testing Platform Development Program, upon [...***...] written notice to FMI as specified in Section 19.13, for up to six (6)<omitted>additional one (1) year periods, during any period of time in which Roche is a majority shareholder of FMI (each a ""Signature Identification Renewal Term""), provided, for clarity, that during any Signature Identification Renewal Term, FMI\'s obligations under Section 16.1 shall continue to apply to any signature identified under this Agreement but that exclusivity under Section 3.2.8 shall not apply to the Immuno-Biomarker Discovery Platform.', 'The Database Insights<omitted>Term may be extended at Roche\'s option, upon […***…] notice to FMI as specified in Section 19.13, for additional three (3) year periods, during any period of time in which Roche is a majority shareholder of FMI (each a ""Database Renewal Term"").']",[],"F. Hoffmann-La Roche Ltd (""Roche Basel""); Hoffmann-La Roche Inc. (“Roche US”)(Roche Basel and Roche US together referred to as “Roche”); Foundation Medicine, Inc. (""FMI"")",,,,,
"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT.PDF","['Harvest Gold Farms Inc.,', 'Novo Integrated Sciences Inc.', 'NVOS and HGF may be referred to herein collectively as the ""Parties"" and separately as a ""Party.""', 'HGF', '""NVOS"")']","['December 19, 2019']","['""Effective Date"" is the date of the most recent final signature on this Agreement.<omitted>December 19, 2019']","['The initial term of this Agreement shall, unless sooner terminated by consent of all parties, expires in five (5) years from the date of Effective Date.']","['NVOS and HGF may renew the Agreement within two (2) years of the expiry of the initial term upon mutual understanding.', 'It is understood that a subsequent renewal of a five (5) year term will be negotiated in good faith and shall carry terms very close to the original Agreement.']",[],Novo Integrated Sciences Inc. (“NVOS”); Harvest Gold Farms Inc. (“HGF”); NVOS and HGF (collectively as the “Parties” and separately as a “Party”),12/19/19,12/19/19,12/19/24,,
"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT.PDF","['AFSL', 'TPH', 'Aizu Fujitsu Semiconductor Limited', 'collectively referred to as the ""Parties"" and individually, a ""Party""', 'Japan, Fujitsu Semiconductor Limited', 'FSL', 'Transphorm, Inc.']","['23rd day of May, 2017']","['""Effective Date"" means the date that the Initial Closing occurs.']",[],[],[],"AizuFujitsu Semiconductor Limited (“AFSL”); Fujitsu Semiconductor Limited (“FSL”); Transphorm, Inc. (“TPH”); AizuFujitsu Semiconductor Limited, Fujitsu Semiconductor Limited, Transphorm, Inc. (collectively referred to as the “Parties” and individually, a “Party”)",5/23/17,,,,
VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT.PDF,"['Party A', 'Baoding Fengfan Group Limited Liability Company', 'Valence Technology, Inc.', 'Party B']","['November 8, 2002']","['""Effective Date"" means the effective date of this Contract, which shall be the date on which this Contract and the Articles of Association have been approved by the Examination and Approval Authority.', 'This Contract shall take effect after it is approved by the Examination and Approval Authority.']",['The Contract Term shall extend for a period of fifty (50) years.'],[],[],"Baoding Fengfan Group Limited Liability Company (""Party A""); Valence Technology, Inc. (""Party B"")",11/8/02,,,,
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT.PDF","['together with its successors and permitted assigns ""Vivint""', 'Each of Vivint Solar and Vivint may also be referred to herein individually as a ""Party"", and collectively as the ""Parties"".', 'VIVINT, INC.', 'together with its successors and permitted assigns, ""Vivint Solar""', 'VIVINT SOLAR, INC.']","['August 16, 2017']",[],"['This Agreement will become effective on the Effective Date, and will continue until the expiration of the ""Sales Term"" as that term is defined in the Sales Dealer Agreement dated as of August 16, 2017 between Vivint and Vivint Solar Developer, LLC (the ""Term"").""']",[],[],"VIVINT SOLAR, INC. (together with its successors and permitted assigns, “VivintSolar”); VIVINT, INC. (together with its successors and permitted assigns “Vivint”) Vivint Solar and Vivint (individually as a “Party”, and collectively as the “Parties”)",8/16/17,,,,
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT.PDF,"['(""Gulf Houghton""', '""Gulf International"")', 'Quaker Chemical Corporation', '""Gulf Oil"" and, together with Gulf Houghton and Gulf International, the ""Sellers"" and each, a ""Seller"")', 'GOCL Corporation Limited,', 'Gulf Oil Lubricants India, Ltd, a public limited company incorporated in India (""Gulf India""), is executing this Agreement solely for purposes of Section 1(c) [Confidentiality; Non-competition; Non-solicitation].', 'Gulf Oil International Limited,', 'Gulf Houghton Lubricants Ltd.,', '""Buyer"")']","['August 1, 2019']","['August 1, 2019']",[],[],[],"Quaker Chemical Corporation (“Buyer”); Gulf Houghton Lubricants Ltd. (“Gulf Houghton”); Gulf Oil International Limited (“GulfInternational”); GOCL Corporation Limited (“Gulf Oil” and, together with Gulf Houghton andGulf International, the “Sellers” and each, a “Seller”); Gulf Oil Lubricants India, Ltd (“Gulf India”), solely for purposes of Section 1(c)[Confidentiality; Non-competition; Non-solicitation]",8/1/19,8/1/19,,,
MOELIS&CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.PDF,"['SMBC Nikko Securities Inc.', 'SMBC, Nikko, Moelis Holdings and Moelis General Partner are each referred to herein as a ""party"" and collectively referred to as the ""parties', 'Moelis & Company Holdings GP LLC', '""Moelis General Partner"", and together with Moelis Holdings, the ""Moelis Entities""', 'Sumitomo Mitsui Banking Corporation', 'Moelis Holdings', '""Nikko"" and together with SMBC, ""SMBC/Nikko""', 'SMBC', 'Moelis & Company Holdings LP']","['December 27, 2011']","['This Agreement shall be effective as of January 1, 2012 (the ""Effective Date""), provided, however, that, ARTICLE XII and ARTICLE XIII shall not be effective until after the Closing.']","['The initial term of this Agreement shall begin on the Effective Date and continue for three (3) years, subject to the prior termination rights provided below.']","['At the end of such initial term, and any renewed term, as applicable, this Agreement shall automatically renew for an additional one (1) year term, unless a party provides written notice to the other parties at least six (6) months prior to the end of the<omitted>initial term.']","['At the end of such initial term, and any renewed term, as applicable, this Agreement shall automatically renew for an additional one (1) year term, unless a party provides written notice to the other parties at least six (6) months prior to the end of the<omitted>initial term.']","Sumitomo Mitsui Banking Corporation (“SMBC”); SMBCNikko Securities Inc. (“Nikko” and together with SMBC, “SMBC/Nikko”); Moelis & Company Holdings LP (“Moelis Holdings”); Moelis & Company Holdings GP LLC, (“Moelis General Partner”, and together with Moelis Holdings, the “MoelisEntities”); SMBC, Nikko, Moelis Holdings and Moelis General Partner (each a “party” and collectively referred to as the “parties"")",12/27/11,1/1/12,1/1/15,1 year,6 months
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.PDF,"['Dialog Semiconductor (UK) Ltd.', 'Energous Corporation', 'ENERGOUS', 'DIALOG']","['November 6, 2016']","['November 6, 2016']","['Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.']","['Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.']","['Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.']",Dialog Semiconductor (UK) Ltd. (“DIALOG”); Energous Corporation (“ENERGOUS”),11/6/16,11/6/16,11/6/23,successive 1 year,180 days
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.PDF","['BorrowMoney.com, inc', '(individually the ""Member"" and collectively the ""Members""', 'JVLS, LLC']","['20th day of Friday, March 2020']","['The duration of this Venture (the ""Term"") will begin on March 1, 2020 and continue in full force and effect until February 28, 2025 or as otherwise provided in this Agreement.']","['The duration of this Venture (the ""Term"") will begin on March 1, 2020 and continue in full force and effect until February 28, 2025 or as otherwise provided in this Agreement.']",[],[],"BorrowMoney.com, inc.; JVLS, LLC;  BorrowMoney.com, inc.; JVLS, LLC (individually the ""Member"" and collectively the ""Members"")",3/20/20,3/1/20,2/28/25,,
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT.PDF","['Zhongshan Nissin Industry Co., Ltd.', 'Nissin Kogyo Holdings', 'Nissin', '""NBZ"" and together with Nissin and Nissin Holding, the ""Nissin Parties""', '""Veoneer US"" and together with Veoneer AB, the ""Veoneer Parties""', 'Nissin Kogyo Co., Ltd.', '""Nissin Holding"")', 'Veoneer AB', 'Veoneer US, Inc.', 'USA, Inc.']","['October 30, 2019']","['October 30, 2019', 'This Amendment shall only become effective upon the VNBJ Closing with respect to Article 1.1 and the VNBZ Closing with respect to Article 1.2, and shall terminate without any force or effect in the event that the VNBJ SPA and the VNBZ SPA are terminated in accordance with the terms thereof.']","['This Amendment shall only become effective upon the VNBJ Closing with respect to Article 1.1 and the VNBZ Closing with respect to Article 1.2, and shall terminate without any force or effect in the event that the VNBJ SPA and the VNBZ SPA are terminated in accordance with the terms thereof.']",[],[],"Veoneer AB (“VeoneerAB”); Veoneer US, Inc. (“Veoneer US"", and together with Veoneer AB, the “Veoneer Parties”); Nissin Kogyo Co., Ltd. (“Nissin”); Nissin Kogyo Holdings USA, Inc. (“NissinHolding”); Zhongshan Nissin Industry Co., Ltd. (“NBZ”, and together with Nissin andNissin Holding, the “Nissin Parties”)",10/30/19,10/30/19,,,
